,0
1434,29.0
1435,32.0
1436,80.0
1437,84.0
1438,37.0
1439,24.0
1440,39.0
1441,92.0
1442,17.0
1443,19.0
1444,42.0
1445,90.0
1446,36.0
1447,36.0
1448,50.0
1449,18.0
1450,35.0
1451,71.0
1452,32.0
1453,26.0
1454,74.0
1455,51.0
1456,70.0
1457,38.0
1458,147.0
1459,53.0
1460,49.0
1461,31.0
1462,26.0
1463,47.0
1464,33.0
1465,73.0
1466,17.0
1467,35.0
1468,25.0
1469,48.0
1470,29.0
1471,13.0
1472,27.0
1473,61.0
1474,37.0
1475,112.0
1476,86.0
1477,86.0
1478,29.0
1479,62.0
1480,57.0
1481,47.0
1482,52.0
1483,83.0
1484,121.0
1485,34.0
1486,42.0
1487,33.0
1488,53.0
1489,26.0
1490,29.0
1491,20.0
1492,40.0
1493,54.0
1494,91.0
1495,59.0
1496,42.0
1497,48.0
1498,91.0
1499,52.0
1500,82.0
1501,54.0
1502,107.0
1503,123.0
1504,39.0
1505,32.0
1506,79.0
1507,30.0
1508,45.0
1509,13.0
1510,28.0
1511,66.0
1512,26.0
1513,71.0
1514,19.0
1515,122.0
1516,51.0
1517,53.0
1518,67.0
1519,21.0
1520,102.0
1521,17.0
1522,16.0
1523,65.0
1524,123.0
1525,23.0
1526,130.0
1527,73.0
1528,42.0
1529,48.0
1530,51.0
1531,43.0
1532,32.0
1533,21.0
1534,52.0
1535,53.0
1536,21.0
1537,17.0
1538,54.0
1539,41.0
1540,63.0
1541,20.0
1542,35.0
1543,37.0
1544,58.0
1545,87.0
1546,54.0
1547,60.0
1548,14.0
1549,26.0
1550,107.0
1551,77.0
1552,29.0
1553,24.0
1554,67.0
1555,75.0
1556,36.0
1557,43.0
1558,19.0
1559,138.0
1560,13.0
1561,63.0
1562,19.0
1563,36.0
1564,62.0
1565,40.0
1566,46.0
1567,38.0
1568,32.0
1569,56.0
1570,29.0
1571,64.0
1572,40.0
1573,33.0
1574,20.0
1575,35.0
1576,33.0
1577,11.0
1578,47.0
1579,30.0
1580,51.0
1581,34.0
1582,40.0
1583,28.0
1584,40.0
1585,43.0
1586,119.0
1587,53.0
1588,53.0
1589,59.0
1590,101.0
1591,29.0
1592,65.0
1593,32.0
1594,28.0
1595,22.0
1596,90.0
1597,60.0
1598,31.0
1599,28.0
1600,18.0
1601,34.0
1602,79.0
1603,103.0
1604,56.0
1605,33.0
1606,49.0
1607,34.0
1608,41.0
1609,127.0
1610,83.0
1611,38.0
1612,37.0
1613,86.0
1614,26.0
1615,28.0
1616,102.0
1617,62.0
1618,30.0
1619,14.0
1620,35.0
1621,45.0
1622,54.0
1623,52.0
1624,29.0
1625,11.0
1626,41.0
1627,82.0
1628,27.0
1629,27.0
1630,23.0
1631,30.0
1632,61.0
1633,28.0
1634,48.0
1635,33.0
1636,28.0
1637,69.0
1638,41.0
1639,36.0
1640,154.0
1641,37.0
1642,85.0
1643,22.0
1644,60.0
1645,177.0
1646,42.0
1647,36.0
1648,33.0
1649,56.0
1650,30.0
1651,109.0
1652,11.0
1653,24.0
1654,152.0
1655,63.0
1656,41.0
1657,66.0
1658,20.0
1659,32.0
1660,44.0
1661,64.0
1662,24.0
1663,34.0
1664,19.0
1665,11.0
1666,65.0
1667,55.0
1668,35.0
1669,66.0
1670,38.0
1671,24.0
1672,142.0
1673,24.0
1674,31.0
1675,141.0
1676,59.0
1677,36.0
1678,107.0
1679,70.0
1680,47.0
1681,39.0
1682,37.0
1683,30.0
1684,35.0
1685,40.0
1686,36.0
1687,68.0
1688,19.0
1689,52.0
1690,36.0
1691,125.0
1692,51.0
1693,135.0
1694,43.0
1695,127.0
1696,38.0
1697,53.0
1698,45.0
1699,40.0
1700,27.0
1701,49.0
1702,53.0
1703,130.0
1704,23.0
1705,81.0
1706,68.0
1707,71.0
1708,59.0
1709,18.0
1710,71.0
1711,158.0
1712,29.0
1713,49.0
1714,135.0
1715,37.0
1716,25.0
1717,60.0
1718,100.0
1719,111.0
1720,30.0
1721,63.0
1722,35.0
1723,22.0
1724,26.0
1725,81.0
1726,128.0
1727,32.0
1728,25.0
1729,36.0
1730,66.0
1731,24.0
1732,142.0
1733,61.0
1734,70.0
1735,114.0
1736,31.0
1737,47.0
1738,51.0
1739,73.0
1740,89.0
1741,19.0
1742,27.0
1743,55.0
1744,129.0
1745,51.0
1746,150.0
1747,72.0
1748,75.0
1749,45.0
1750,52.0
1751,80.0
1752,62.0
1753,132.0
1754,47.0
1755,41.0
1756,22.0
1757,31.0
1758,44.0
1759,23.0
1760,44.0
1761,65.0
1762,107.0
1763,157.0
1764,43.0
1765,31.0
1766,39.0
1767,78.0
1768,33.0
1769,20.0
1770,31.0
1771,43.0
1772,41.0
1773,81.0
1774,41.0
1775,52.0
1776,85.0
1777,43.0
1778,48.0
1779,22.0
1780,90.0
1781,75.0
1782,22.0
1783,34.0
1784,120.0
1785,46.0
1786,49.0
1787,27.0
1788,77.0
1789,25.0
1790,62.0
1791,26.0
1792,43.0
1793,34.0
1794,79.0
1795,108.0
1796,34.0
1797,50.0
1798,103.0
1799,63.0
1800,51.0
1801,42.0
1802,75.0
1803,68.0
1804,91.0
1805,62.0
1806,81.0
1807,152.0
1808,48.0
1809,78.0
1810,72.0
1811,48.0
1812,66.0
1813,34.0
1814,40.0
1815,22.0
1816,35.0
1817,25.0
1818,12.0
1819,24.0
1820,46.0
1821,77.0
1822,109.0
1823,25.0
1824,34.0
1825,58.0
1826,28.0
1827,40.0
1828,78.0
1829,37.0
1830,35.0
1831,82.0
1832,47.0
1833,65.0
1834,42.0
1835,53.0
1836,34.0
1837,26.0
1838,23.0
1839,31.0
1840,20.0
1841,46.0
1842,26.0
1843,111.0
1844,24.0
1845,31.0
1846,42.0
1847,68.0
1848,39.0
1849,29.0
1850,17.0
1851,82.0
1852,44.0
1853,41.0
1854,100.0
1855,138.0
1856,22.0
1857,92.0
1858,71.0
1859,28.0
1860,157.0
1861,70.0
1862,136.0
1863,87.0
1864,94.0
1865,50.0
1866,122.0
1867,24.0
1868,18.0
1869,13.0
1870,128.0
1871,61.0
1872,21.0
1873,52.0
1874,80.0
1875,31.0
1876,66.0
1877,61.0
1878,140.0
1879,21.0
1880,70.0
1881,36.0
1882,39.0
1883,124.0
1884,70.0
1885,32.0
1886,49.0
1887,61.0
1888,130.0
1889,39.0
1890,48.0
1891,122.0
1892,69.0
1893,148.0
1894,17.0
1895,75.0
1896,116.0
1897,36.0
1898,48.0
1899,13.0
1900,66.0
1901,82.0
1902,75.0
1903,112.0
1904,34.0
1905,39.0
1906,19.0
1907,66.0
1908,17.0
1909,113.0
1910,25.0
1911,159.0
1912,67.0
1913,66.0
1914,26.0
1915,68.0
1916,75.0
1917,148.0
1918,122.0
1919,33.0
1920,21.0
1921,16.0
1922,46.0
1923,82.0
1924,67.0
1925,63.0
1926,43.0
1927,66.0
1928,155.0
1929,23.0
1930,28.0
1931,37.0
1932,81.0
1933,32.0
1934,142.0
1935,87.0
1936,46.0
1937,54.0
1938,113.0
1939,53.0
1940,142.0
1941,25.0
1942,83.0
1943,25.0
1944,99.0
1945,44.0
1946,26.0
1947,88.0
1948,118.0
1949,31.0
1950,38.0
1951,21.0
1952,35.0
1953,64.0
1954,28.0
1955,25.0
1956,74.0
1957,57.0
1958,46.0
1959,77.0
1960,31.0
1961,27.0
1962,126.0
1963,54.0
1964,36.0
1965,200.0
1966,53.0
1967,162.0
1968,54.0
1969,39.0
1970,105.0
1971,30.0
1972,200.0
1973,129.0
1974,60.0
1975,17.0
1976,87.0
1977,64.0
1978,16.0
1979,63.0
1980,74.0
1981,72.0
1982,47.0
1983,26.0
1984,35.0
1985,123.0
1986,29.0
1987,83.0
1988,34.0
1989,95.0
1990,132.0
1991,22.0
1992,14.0
1993,37.0
1994,25.0
1995,43.0
1996,176.0
1997,52.0
1998,29.0
1999,133.0
2000,93.0
2001,65.0
2002,140.0
2003,48.0
2004,99.0
2005,28.0
2006,49.0
2007,60.0
2008,66.0
2009,12.0
2010,29.0
2011,62.0
2012,137.0
2013,22.0
2014,85.0
2015,65.0
2016,128.0
2017,76.0
2018,67.0
2019,54.0
2020,98.0
2021,37.0
2022,120.0
2023,69.0
2024,73.0
2025,67.0
2026,59.0
2027,83.0
2028,19.0
2029,32.0
2030,79.0
2031,23.0
2032,63.0
2033,70.0
2034,131.0
2035,50.0
2036,46.0
2037,143.0
2038,40.0
2039,22.0
2040,21.0
2041,57.0
2042,88.0
2043,74.0
2044,45.0
2045,82.0
2046,178.0
2047,52.0
2048,48.0
2049,57.0
2050,103.0
2051,71.0
2052,143.0
2053,81.0
2054,83.0
2055,77.0
2056,40.0
2057,51.0
2058,78.0
2059,81.0
2060,108.0
2061,51.0
2062,34.0
2063,190.0
2064,119.0
2065,37.0
2066,79.0
2067,50.0
2068,131.0
2069,36.0
2070,53.0
2071,51.0
2072,114.0
2073,24.0
2074,42.0
2075,96.0
2076,19.0
2077,37.0
2078,30.0
2079,60.0
2080,51.0
2081,36.0
2082,77.0
2083,84.0
2084,130.0
2085,144.0
2086,35.0
2087,93.0
2088,57.0
2089,124.0
2090,51.0
2091,14.0
2092,49.0
2093,38.0
2094,37.0
2095,120.0
2096,85.0
2097,40.0
2098,70.0
2099,94.0
2100,89.0
2101,116.0
2102,51.0
2103,48.0
2104,79.0
2105,111.0
2106,112.0
2107,52.0
2108,24.0
2109,87.0
2110,13.0
2111,65.0
2112,60.0
2113,56.0
2114,76.0
2115,85.0
2116,33.0
2117,124.0
2118,30.0
2119,57.0
2120,66.0
2121,25.0
2122,24.0
2123,22.0
2124,41.0
2125,129.0
2126,137.0
2127,44.0
2128,59.0
2129,122.0
2130,57.0
2131,87.0
2132,117.0
2133,37.0
2134,100.0
2135,35.0
2136,35.0
2137,29.0
2138,24.0
2139,90.0
2140,102.0
