,0
914,40.0
915,14.0
916,36.0
917,14.0
918,13.0
919,14.0
920,37.0
921,18.0
922,29.0
923,18.0
924,30.0
925,17.0
926,16.0
927,20.0
928,23.0
929,21.0
930,17.0
931,25.0
932,17.0
933,23.0
934,11.0
935,59.0
936,16.0
937,21.0
938,12.0
939,9.0
940,51.0
941,14.0
942,25.0
943,20.0
944,24.0
945,10.0
946,12.0
947,41.0
948,17.0
949,11.0
950,18.0
951,23.0
952,11.0
953,19.0
954,16.0
955,63.0
956,24.0
957,29.0
958,11.0
959,57.0
960,42.0
961,29.0
962,17.0
963,17.0
964,21.0
965,17.0
966,18.0
967,23.0
968,31.0
969,15.0
970,16.0
971,38.0
972,26.0
973,11.0
974,10.0
975,26.0
976,16.0
977,37.0
978,13.0
979,16.0
980,21.0
981,21.0
982,9.0
983,12.0
984,48.0
985,13.0
986,33.0
987,30.0
988,11.0
989,12.0
990,9.0
991,34.0
992,16.0
993,22.0
994,13.0
995,10.0
996,11.0
997,29.0
998,63.0
999,23.0
1000,16.0
1001,13.0
1002,16.0
1003,8.0
1004,29.0
1005,32.0
1006,22.0
1007,14.0
1008,11.0
1009,19.0
1010,10.0
1011,19.0
1012,14.0
1013,59.0
1014,29.0
1015,20.0
1016,19.0
1017,26.0
1018,17.0
1019,17.0
1020,14.0
1021,16.0
1022,52.0
1023,23.0
1024,48.0
1025,23.0
1026,19.0
1027,13.0
1028,11.0
1029,31.0
1030,36.0
1031,33.0
1032,33.0
1033,14.0
1034,28.0
1035,16.0
1036,14.0
1037,21.0
1038,22.0
1039,14.0
1040,23.0
1041,10.0
1042,12.0
1043,11.0
1044,10.0
1045,32.0
1046,27.0
1047,15.0
1048,24.0
1049,33.0
1050,22.0
1051,25.0
1052,19.0
1053,14.0
1054,16.0
1055,14.0
1056,20.0
1057,32.0
1058,61.0
1059,17.0
1060,23.0
1061,21.0
1062,11.0
1063,16.0
1064,38.0
1065,27.0
1066,28.0
1067,18.0
1068,11.0
1069,17.0
1070,25.0
1071,18.0
1072,20.0
1073,25.0
1074,23.0
1075,11.0
1076,69.0
1077,17.0
1078,27.0
1079,11.0
1080,28.0
1081,11.0
1082,19.0
1083,15.0
1084,28.0
1085,20.0
1086,21.0
1087,11.0
1088,21.0
1089,22.0
1090,12.0
1091,16.0
1092,17.0
1093,17.0
1094,25.0
1095,22.0
1096,16.0
1097,17.0
1098,18.0
1099,19.0
1100,21.0
1101,20.0
1102,10.0
1103,102.0
1104,35.0
1105,31.0
1106,26.0
1107,18.0
1108,19.0
1109,14.0
1110,34.0
1111,16.0
1112,27.0
1113,12.0
1114,14.0
1115,29.0
1116,15.0
1117,13.0
1118,17.0
1119,15.0
1120,50.0
1121,50.0
1122,20.0
1123,32.0
1124,17.0
1125,40.0
1126,32.0
1127,13.0
1128,11.0
1129,20.0
1130,18.0
1131,23.0
1132,15.0
1133,28.0
1134,22.0
1135,15.0
1136,21.0
1137,21.0
1138,8.0
1139,24.0
1140,11.0
1141,11.0
1142,18.0
1143,19.0
1144,9.0
1145,14.0
1146,16.0
1147,26.0
1148,13.0
1149,13.0
1150,11.0
1151,30.0
1152,48.0
1153,16.0
1154,11.0
1155,19.0
1156,19.0
1157,35.0
1158,18.0
1159,19.0
1160,39.0
1161,17.0
1162,13.0
1163,21.0
1164,59.0
1165,19.0
1166,25.0
1167,17.0
1168,13.0
1169,19.0
1170,22.0
1171,23.0
1172,11.0
1173,11.0
1174,21.0
1175,26.0
1176,11.0
1177,19.0
1178,24.0
1179,20.0
1180,19.0
1181,17.0
1182,14.0
1183,28.0
1184,15.0
1185,20.0
1186,17.0
1187,16.0
1188,11.0
1189,34.0
1190,38.0
1191,23.0
1192,15.0
1193,14.0
1194,13.0
1195,16.0
1196,18.0
1197,13.0
1198,18.0
1199,12.0
1200,18.0
1201,26.0
1202,46.0
1203,32.0
1204,19.0
1205,52.0
1206,12.0
1207,13.0
1208,28.0
1209,26.0
1210,14.0
1211,12.0
1212,25.0
1213,12.0
1214,14.0
1215,13.0
1216,24.0
1217,22.0
1218,11.0
1219,14.0
1220,10.0
1221,14.0
1222,44.0
1223,22.0
1224,19.0
1225,12.0
1226,10.0
1227,13.0
1228,15.0
1229,34.0
1230,20.0
1231,15.0
1232,16.0
1233,13.0
1234,13.0
1235,17.0
1236,26.0
1237,11.0
1238,23.0
1239,38.0
1240,10.0
1241,21.0
1242,14.0
1243,21.0
1244,15.0
1245,13.0
1246,24.0
1247,28.0
1248,24.0
1249,30.0
1250,27.0
1251,20.0
1252,33.0
1253,18.0
1254,22.0
1255,21.0
1256,43.0
1257,25.0
1258,13.0
1259,16.0
1260,14.0
1261,12.0
1262,34.0
1263,39.0
1264,19.0
1265,16.0
1266,29.0
1267,32.0
1268,11.0
1269,9.0
1270,17.0
1271,23.0
1272,12.0
1273,24.0
1274,23.0
1275,25.0
1276,18.0
1277,14.0
1278,14.0
1279,15.0
1280,19.0
1281,43.0
1282,10.0
1283,15.0
1284,32.0
1285,19.0
1286,56.0
1287,44.0
1288,14.0
1289,17.0
1290,14.0
1291,15.0
1292,30.0
1293,17.0
1294,15.0
1295,18.0
1296,18.0
1297,15.0
1298,16.0
1299,9.0
1300,19.0
1301,23.0
1302,36.0
1303,35.0
1304,24.0
1305,16.0
1306,24.0
1307,12.0
1308,14.0
1309,24.0
1310,16.0
1311,16.0
1312,11.0
1313,25.0
1314,14.0
1315,15.0
1316,22.0
1317,13.0
1318,48.0
1319,25.0
1320,44.0
1321,20.0
1322,9.0
1323,20.0
1324,10.0
1325,35.0
1326,35.0
1327,28.0
1328,19.0
1329,30.0
1330,14.0
1331,28.0
1332,73.0
1333,23.0
1334,12.0
1335,33.0
1336,43.0
1337,20.0
1338,19.0
1339,23.0
1340,21.0
1341,8.0
1342,12.0
1343,16.0
1344,14.0
1345,18.0
1346,17.0
1347,34.0
1348,54.0
1349,14.0
1350,20.0
1351,13.0
1352,20.0
1353,13.0
1354,22.0
1355,41.0
1356,10.0
1357,14.0
1358,23.0
1359,15.0
1360,22.0
1361,11.0
1362,26.0
1363,21.0
1364,10.0
1365,19.0
1366,36.0
1367,14.0
1368,17.0
1369,21.0
1370,20.0
1371,18.0
1372,19.0
1373,25.0
1374,16.0
1375,22.0
1376,11.0
1377,12.0
1378,17.0
1379,22.0
1380,24.0
1381,32.0
1382,22.0
1383,16.0
1384,15.0
1385,17.0
1386,31.0
1387,14.0
1388,15.0
1389,15.0
1390,31.0
1391,16.0
1392,13.0
1393,35.0
1394,33.0
1395,14.0
1396,13.0
1397,62.0
1398,13.0
1399,15.0
1400,71.0
1401,19.0
1402,37.0
1403,12.0
1404,10.0
1405,35.0
1406,14.0
1407,14.0
1408,15.0
1409,15.0
1410,13.0
1411,16.0
1412,13.0
1413,18.0
1414,40.0
1415,13.0
1416,21.0
1417,18.0
1418,33.0
1419,39.0
1420,22.0
1421,20.0
1422,13.0
1423,24.0
1424,23.0
1425,14.0
1426,15.0
1427,18.0
1428,14.0
1429,29.0
1430,17.0
1431,19.0
1432,12.0
1433,14.0
1434,14.0
1435,40.0
1436,14.0
1437,14.0
1438,13.0
1439,10.0
1440,15.0
1441,29.0
1442,11.0
1443,42.0
1444,11.0
1445,17.0
1446,19.0
1447,28.0
1448,45.0
1449,18.0
1450,13.0
1451,20.0
1452,14.0
1453,31.0
1454,25.0
1455,10.0
1456,13.0
1457,11.0
1458,22.0
1459,13.0
1460,17.0
1461,28.0
1462,12.0
1463,21.0
1464,31.0
1465,16.0
1466,13.0
1467,13.0
1468,13.0
1469,17.0
1470,16.0
1471,17.0
1472,15.0
1473,20.0
1474,13.0
1475,17.0
1476,16.0
1477,22.0
1478,12.0
1479,16.0
1480,28.0
1481,33.0
1482,18.0
1483,23.0
1484,11.0
1485,35.0
1486,11.0
1487,13.0
1488,48.0
1489,45.0
1490,19.0
1491,16.0
1492,43.0
1493,19.0
1494,14.0
1495,16.0
1496,17.0
1497,14.0
1498,46.0
1499,14.0
1500,14.0
1501,22.0
1502,15.0
1503,21.0
1504,23.0
1505,16.0
1506,19.0
1507,18.0
1508,13.0
1509,29.0
1510,43.0
1511,17.0
1512,69.0
1513,17.0
1514,25.0
1515,47.0
1516,24.0
1517,17.0
1518,21.0
1519,15.0
1520,13.0
1521,10.0
1522,25.0
1523,15.0
1524,14.0
1525,29.0
1526,19.0
1527,23.0
1528,12.0
1529,43.0
1530,18.0
1531,21.0
1532,15.0
1533,47.0
1534,10.0
1535,35.0
1536,13.0
1537,16.0
1538,22.0
1539,11.0
1540,10.0
1541,24.0
1542,23.0
1543,15.0
1544,9.0
1545,9.0
1546,31.0
1547,14.0
1548,25.0
1549,33.0
1550,14.0
